Problem,Description,Algorithm,Run,Best
Spring,Tension/Compression Spring Design,ISBOA,1,0.012836225266911942
Spring,Tension/Compression Spring Design,ISBOA,2,0.012732065076231619
Spring,Tension/Compression Spring Design,ISBOA,3,0.012692245367080681
Spring,Tension/Compression Spring Design,ISBOA,4,0.012891414729341964
Spring,Tension/Compression Spring Design,ISBOA,5,0.012838682764987076
Spring,Tension/Compression Spring Design,SBOA,1,0.013518972477667573
Spring,Tension/Compression Spring Design,SBOA,2,0.012667602715557828
Spring,Tension/Compression Spring Design,SBOA,3,0.013166869059118274
Spring,Tension/Compression Spring Design,SBOA,4,0.012758277504559429
Spring,Tension/Compression Spring Design,SBOA,5,0.012839036308761945
Spring,Tension/Compression Spring Design,GWO,1,0.01279063440067376
Spring,Tension/Compression Spring Design,GWO,2,0.014809923119454253
Spring,Tension/Compression Spring Design,GWO,3,0.012802639980211066
Spring,Tension/Compression Spring Design,GWO,4,0.013497369086045222
Spring,Tension/Compression Spring Design,GWO,5,0.013210064711716998
Spring,Tension/Compression Spring Design,WOA,1,0.014348675343985895
Spring,Tension/Compression Spring Design,WOA,2,0.012688450692023514
Spring,Tension/Compression Spring Design,WOA,3,0.013268834642019159
Spring,Tension/Compression Spring Design,WOA,4,0.012879168026382755
Spring,Tension/Compression Spring Design,WOA,5,0.016081243383515884
Spring,Tension/Compression Spring Design,SCA,1,0.013179288974103774
Spring,Tension/Compression Spring Design,SCA,2,0.013104686019118716
Spring,Tension/Compression Spring Design,SCA,3,0.015414051801081964
Spring,Tension/Compression Spring Design,SCA,4,0.015393370221656396
Spring,Tension/Compression Spring Design,SCA,5,0.013292796224797905
Spring,Tension/Compression Spring Design,SSA,1,0.05073633968523686
Spring,Tension/Compression Spring Design,SSA,2,0.013995321697024471
Spring,Tension/Compression Spring Design,SSA,3,0.014683378483708081
Spring,Tension/Compression Spring Design,SSA,4,0.036232308372673244
Spring,Tension/Compression Spring Design,SSA,5,0.013618702725000974
Spring,Tension/Compression Spring Design,HHO,1,0.014674228442112861
Spring,Tension/Compression Spring Design,HHO,2,0.012692208256890039
Spring,Tension/Compression Spring Design,HHO,3,0.013756234130883994
Spring,Tension/Compression Spring Design,HHO,4,0.013238754943928786
Spring,Tension/Compression Spring Design,HHO,5,0.01659880582144835
Spring,Tension/Compression Spring Design,MPA,1,0.013017292508051795
Spring,Tension/Compression Spring Design,MPA,2,0.0128263922511225
Spring,Tension/Compression Spring Design,MPA,3,0.012777600195161996
Spring,Tension/Compression Spring Design,MPA,4,0.012829771939121062
Spring,Tension/Compression Spring Design,MPA,5,0.01286982450113518
Spring,Tension/Compression Spring Design,AOA,1,0.01320593533025441
Spring,Tension/Compression Spring Design,AOA,2,0.013204484005467785
Spring,Tension/Compression Spring Design,AOA,3,0.013185408233147056
Spring,Tension/Compression Spring Design,AOA,4,0.01319477076418944
Spring,Tension/Compression Spring Design,AOA,5,0.013170794308488375
PressureVessel,Pressure Vessel Design,ISBOA,1,5911.071777971714
PressureVessel,Pressure Vessel Design,ISBOA,2,5888.773089904016
PressureVessel,Pressure Vessel Design,ISBOA,3,5872.515038825171
PressureVessel,Pressure Vessel Design,ISBOA,4,5872.704263410151
PressureVessel,Pressure Vessel Design,ISBOA,5,5871.9535811719625
PressureVessel,Pressure Vessel Design,SBOA,1,6378.613756264611
PressureVessel,Pressure Vessel Design,SBOA,2,6009.065994023125
PressureVessel,Pressure Vessel Design,SBOA,3,5971.531146940675
PressureVessel,Pressure Vessel Design,SBOA,4,6295.507470810718
PressureVessel,Pressure Vessel Design,SBOA,5,6177.08737023642
PressureVessel,Pressure Vessel Design,GWO,1,6390.914302518694
PressureVessel,Pressure Vessel Design,GWO,2,5894.862910039944
PressureVessel,Pressure Vessel Design,GWO,3,7213.078922193061
PressureVessel,Pressure Vessel Design,GWO,4,5880.0342670114105
PressureVessel,Pressure Vessel Design,GWO,5,6199.1763273950455
PressureVessel,Pressure Vessel Design,WOA,1,22523.58166438819
PressureVessel,Pressure Vessel Design,WOA,2,24751.21267410594
PressureVessel,Pressure Vessel Design,WOA,3,19956.07592565092
PressureVessel,Pressure Vessel Design,WOA,4,7203.966206247027
PressureVessel,Pressure Vessel Design,WOA,5,6926.862131149651
PressureVessel,Pressure Vessel Design,SCA,1,9330.121297680602
PressureVessel,Pressure Vessel Design,SCA,2,7503.476905320081
PressureVessel,Pressure Vessel Design,SCA,3,7810.003470678791
PressureVessel,Pressure Vessel Design,SCA,4,7610.827175815755
PressureVessel,Pressure Vessel Design,SCA,5,7262.904994002258
PressureVessel,Pressure Vessel Design,SSA,1,7042.654623346158
PressureVessel,Pressure Vessel Design,SSA,2,6293.476296689762
PressureVessel,Pressure Vessel Design,SSA,3,6040.749733554434
PressureVessel,Pressure Vessel Design,SSA,4,6711.6823451195905
PressureVessel,Pressure Vessel Design,SSA,5,5961.605847277936
PressureVessel,Pressure Vessel Design,HHO,1,7455.413802019817
PressureVessel,Pressure Vessel Design,HHO,2,7258.411391130621
PressureVessel,Pressure Vessel Design,HHO,3,6611.287466725531
PressureVessel,Pressure Vessel Design,HHO,4,7928.497945444915
PressureVessel,Pressure Vessel Design,HHO,5,6540.000024481351
PressureVessel,Pressure Vessel Design,MPA,1,6010.434175254281
PressureVessel,Pressure Vessel Design,MPA,2,6098.294048779255
PressureVessel,Pressure Vessel Design,MPA,3,5993.4272368915
PressureVessel,Pressure Vessel Design,MPA,4,6017.382365354555
PressureVessel,Pressure Vessel Design,MPA,5,6177.913436548358
PressureVessel,Pressure Vessel Design,AOA,1,6430.954593500578
PressureVessel,Pressure Vessel Design,AOA,2,5894.802007069608
PressureVessel,Pressure Vessel Design,AOA,3,7108.399936175246
PressureVessel,Pressure Vessel Design,AOA,4,5885.609335521054
PressureVessel,Pressure Vessel Design,AOA,5,6004.769653891933
Truss3Bar,Three-bar Truss Design,ISBOA,1,263.8914914772327
Truss3Bar,Three-bar Truss Design,ISBOA,2,263.8914918633561
Truss3Bar,Three-bar Truss Design,ISBOA,3,263.8914949997889
Truss3Bar,Three-bar Truss Design,ISBOA,4,263.8914916751086
