Year,Function,Algorithm,Run,Error
2017,F1,SSA,2,6750.494467876508
2017,F1,SSA,1,2901.212722881968
2017,F1,WOA,1,21419529022.027515
2017,F1,WOA,2,42918952393.12036
2017,F1,SCA,1,25752612306.029625
2017,F1,HHO,2,1734529865.465798
2017,F1,HHO,1,843036026.4799327
2017,F1,SBOA,2,1441544.7105494211
2017,F1,SCA,2,31574364874.559814
2017,F1,SBOA,1,315849.03283869283
2017,F1,MPA,2,1574213418.2334301
2017,F1,MPA,1,1055435722.808078
2017,F1,ISBOA,2,3599.991629588717
2017,F1,ISBOA,1,5142.049196346188
2017,F1,GWO,1,3854103836.3328547
2017,F1,GWO,2,1512706082.156196
2017,F10,WOA,1,4362282.758545015
2017,F10,SBOA,2,20288.691410660264
2017,F10,WOA,2,1170139.3753292505
2017,F10,SBOA,1,79994.9478524798
2017,F10,SCA,1,7258730.475831002
2017,F10,SCA,2,1586591.7571637204
2017,F10,SSA,1,221980.87522700283
2017,F10,SSA,2,144789.88085260702
2017,F10,ISBOA,1,24921.49315083536
2017,F10,HHO,1,648606.3339886845
2017,F10,HHO,2,143460.53490903444
2017,F10,ISBOA,2,9970.139326650557
2017,F1,AOA,1,24686382115.45117
2017,F10,GWO,1,192519.895647217
2017,F10,GWO,2,117333.22324114566
2017,F1,AOA,2,34499019349.3649
2017,F10,MPA,2,37236.76084789578
2017,F10,MPA,1,51019.36043307645
2017,F11,SBOA,1,392636.5105297841
2017,F11,SBOA,2,534598.0024185912
2017,F11,WOA,1,1011285620.39548
2017,F11,WOA,2,2383136462.6714835
2017,F11,SCA,1,2537616977.5004997
2017,F11,SSA,1,15915490.545165405
2017,F10,AOA,1,262992.8573674243
2017,F11,SCA,2,4441082463.148476
2017,F10,AOA,2,204982.18542522663
2017,F11,SSA,2,45697584.817395724
2017,F11,ISBOA,2,981857.43495787
2017,F11,ISBOA,1,1307539.3353672645
2017,F11,GWO,2,4451395.280515828
2017,F11,GWO,1,8777604.036630765
2017,F11,HHO,2,78869398.86250956
2017,F11,HHO,1,28231224.717143714
2017,F12,SBOA,1,2400.631335793657
2017,F12,SBOA,2,4688.55247721966
2017,F12,WOA,1,912923845.6601949
2017,F12,WOA,2,2649081426.6832094
2017,F12,SCA,1,1033032226.3269249
2017,F12,SCA,2,3253236140.1807723
2017,F12,ISBOA,1,54069.20027322418
2017,F12,GWO,1,37241020.08362909
2017,F11,MPA,1,21666549.498012032
2017,F12,ISBOA,2,61250.07824333038
2017,F11,MPA,2,20892151.954494372
2017,F12,GWO,2,150948310.69211376
2017,F12,SSA,1,256205.6704592791
2017,F12,SSA,2,280513.00082235644
2017,F12,HHO,1,8564685.808783155
2017,F12,HHO,2,12289493.109916529
2017,F12,MPA,1,3768122.6379667344
2017,F12,MPA,2,5657142.362114964
2017,F11,AOA,1,2535724775.1950626
2017,F11,AOA,2,1836067632.5213673
2017,F13,SBOA,1,208304.18995267944
2017,F13,SBOA,2,331802.55704896594
2017,F13,WOA,1,4911937.418842723
2017,F13,WOA,2,17479470.178407498
2017,F13,ISBOA,2,23880.533063098097
2017,F13,ISBOA,1,272931.75634404056
2017,F13,GWO,1,117915.97544740641
2017,F13,GWO,2,216555.6162255262
2017,F12,AOA,1,3908254638.6558084
2017,F12,AOA,2,3384897663.114641
2017,F13,SCA,1,2430860.373096237
2017,F13,SCA,2,2812634.3895480265
2017,F13,SSA,1,898714.2215445153
2017,F13,SSA,2,680671.8235778678
2017,F13,HHO,1,3072173.8280847347
2017,F13,HHO,2,1500353.1637250755
2017,F13,MPA,1,28353.159065261603
2017,F13,MPA,2,30266.194284981582
2017,F14,SBOA,1,40836.69587824165
2017,F14,SBOA,2,29149.350532141238
2017,F14,ISBOA,1,70537.07103888884
2017,F14,ISBOA,2,93036.43731719824
2017,F14,WOA,1,3260733965.0780215
2017,F14,WOA,2,105933818.11019626
2017,F14,SCA,1,551887357.4305786
2017,F14,SCA,2,761664522.9240737
2017,F14,SSA,1,168546.14751290067
2017,F14,SSA,2,272116.1893041241
2017,F14,GWO,2,221134.49262802908
2017,F14,GWO,1,5306649.552015482
2017,F13,AOA,1,5066074.146252964
2017,F14,HHO,1,3504053.851593408
2017,F14,HHO,2,4327764.042058302
2017,F13,AOA,2,5682602.565452913
2017,F14,MPA,1,350272.0595061199
2017,F14,MPA,2,841760.4424171352
2017,F14,AOA,1,2042792.810825178
2017,F14,AOA,2,1985974406.0968986
2017,F15,SBOA,1,3189.037314624302
2017,F15,SBOA,2,-401.34017985923265
2017,F15,SCA,1,23798985.362261172
2017,F15,WOA,1,368997649.1717741
2017,F15,WOA,2,5547730.751378593
2017,F15,ISBOA,1,75.86629555670947
2017,F15,SSA,1,10421.359705826648
2017,F15,SSA,2,44477.401280714694
2017,F15,ISBOA,2,72.82676911154886
2017,F15,SCA,2,46175575.85552067
2017,F15,GWO,1,1667137.2377756874
2017,F15,GWO,2,1389444.982874729
2017,F15,HHO,1,441535.93920375506
2017,F15,HHO,2,2183811.0334112737
2017,F15,MPA,1,4919.539668991823
2017,F15,MPA,2,3440.561190743393
2017,F15,AOA,1,20640.988976396482
2017,F15,AOA,2,2747247.0464514545
2017,F16,SBOA,2,7001.7902017910765
2017,F16,SBOA,1,10603.246968275245
2017,F16,WOA,2,254569749.8397471
2017,F16,SCA,1,2940993477.806418
2017,F16,WOA,1,205088269.91749242
2017,F16,ISBOA,2,1903.8675865125679
2017,F16,ISBOA,1,1225.1775220229265
2017,F16,SSA,1,39757.89505305029
2017,F16,GWO,1,87842.16689661433
2017,F16,GWO,2,31699.790612712
2017,F16,SCA,2,10899993907.12648
2017,F16,SSA,2,33596.561900145345
2017,F16,HHO,1,145293.9918808265
2017,F17,SBOA,1,150454.33353510252
2017,F16,HHO,2,62796.78584889688
2017,F17,ISBOA,1,12317.17139435096
2017,F17,WOA,1,1142753.612243056
2017,F17,SBOA,2,153813.85776275798
2017,F17,WOA,2,457533.84470016306
2017,F17,SCA,1,294441.28619252285
2017,F17,ISBOA,2,24263.010088845516
2017,F17,GWO,1,74100.12489724308
2017,F17,SCA,2,2237892.384897508
2017,F17,GWO,2,99959.84832945812
2017,F17,SSA,1,432168.4424975173
2017,F17,SSA,2,115865.07823021963
2017,F17,HHO,1,129844.3745552673
2017,F17,HHO,2,57182.43143175633
2017,F17,MPA,2,12876.008562673858
2017,F17,MPA,1,9587.070954230978
2017,F16,MPA,1,14945.897506510031
2017,F17,AOA,1,2059021.4451505027
2017,F17,AOA,2,2071684.6072787547
2017,F16,MPA,2,5055.264162690913
2017,F18,SBOA,1,2988.2874070504204
2017,F18,SBOA,2,66.71601887156135
2017,F18,ISBOA,1,36024.00790736715
2017,F18,ISBOA,2,68857.76977310616
2017,F18,WOA,2,30432469708.674145
2017,F18,WOA,1,54081278079.82817
2017,F18,SCA,1,5689049762.549844
2017,F18,SCA,2,53250807176.88988
2017,F18,GWO,1,11597721126.719997
2017,F18,GWO,2,141805672.00255656
2017,F18,SSA,1,105917.49041217905
2017,F18,SSA,2,47564.629655850615
2017,F18,HHO,1,56407554.12216907
2017,F16,AOA,2,59872.80811225846
2017,F16,AOA,1,827513.6650802221
2017,F18,HHO,2,102440520.579361
2017,F18,MPA,2,439848.9028142278
2017,F18,MPA,1,209170.32681904297
2017,F18,AOA,1,2420723216.502781
2017,F18,AOA,2,2771217750.9402976
2017,F19,SBOA,1,371.3682536134329
2017,F19,SBOA,2,68.80465538707153
2017,F19,ISBOA,1,11.41520934036862
2017,F19,ISBOA,2,437.71990582481476
2017,F19,GWO,1,604.0283661655485
2017,F19,WOA,2,4055.027376733364
2017,F19,WOA,1,10759.597732074724
2017,F19,GWO,2,1074.194596651444
2017,F19,SCA,2,4187.673603197697
2017,F2,SBOA,1,2117.464176971547
2017,F19,SSA,1,3769.452388523081
2017,F19,SCA,1,1907.227681861942
2017,F2,ISBOA,1,3.9734303268468807
2017,F2,ISBOA,2,0.37828941755643086
2017,F19,SSA,2,1955.0123768782014
2017,F2,SBOA,2,1358.6192185775171
2017,F2,WOA,1,97350.73890308569
2017,F2,WOA,2,35101.08228507605
2017,F2,SSA,1,3.13153805109323e-08
2017,F2,GWO,1,23101.521741115925
2017,F2,SCA,1,41400.02832294201
2017,F2,SCA,2,47747.73407197367
2017,F2,SSA,2,8.01495048108336e-08
2017,F2,HHO,1,13555.83543479821
2017,F2,GWO,2,40395.92336980608
2017,F2,HHO,2,19715.238799955354
2017,F2,MPA,1,4622.531452287936
2017,F2,MPA,2,5889.642987823273
2017,F2,AOA,1,58186.87605999818
2017,F2,AOA,2,103113.1735237927
2017,F20,SBOA,1,293.5270599513783
2017,F20,SBOA,2,199.13729498270732
2017,F20,WOA,1,22351.896308628595
2017,F20,WOA,2,31950.985224574157
2017,F20,ISBOA,2,1003.4930293809125
2017,F20,ISBOA,1,635.4915923324352
2017,F20,GWO,2,4744.351872344686
2017,F20,GWO,1,3213.3156183710616
2017,F19,HHO,1,2133.3419113045143
2017,F19,HHO,2,3305.440387818445
2017,F20,SCA,1,10544.974778053247
2017,F20,SCA,2,19484.49608647192
2017,F20,SSA,1,1208.2598160737962
2017,F20,SSA,2,708.4188167209063
2017,F19,MPA,1,817.9489555875261
2017,F20,HHO,2,1509.7933290566557
2017,F20,HHO,1,2453.723241733298
2017,F20,MPA,1,969.8395871437097
2017,F19,MPA,2,660.0917778509183
2017,F20,MPA,2,1032.315640949094
2017,F20,AOA,1,9696.4465479219
2017,F20,AOA,2,4852.193291170037
2017,F21,ISBOA,1,112.1781915424508
2017,F21,SBOA,1,-693.5417150909152
2017,F21,SBOA,2,12.314361337046194
2017,F21,ISBOA,2,119.88196927767285
2017,F21,WOA,2,1219.1105801732365
2017,F21,SCA,1,569.8160657745002
2017,F21,WOA,1,1064.095291034433
2017,F21,GWO,1,117.6178523665053
2017,F21,SCA,2,496.15395566772213
2017,F21,SSA,2,175.91916615892023
2017,F21,SSA,1,111.07054588246137
2017,F21,GWO,2,154.91306307930745
2017,F21,HHO,1,328.63743021115806
2017,F21,HHO,2,621.7935810714134
2017,F19,AOA,1,10401.71759128001
2017,F19,AOA,2,4604.119282610278
2017,F21,MPA,1,189.05274951331648
2017,F21,MPA,2,218.21309998403876
2017,F22,SBOA,1,257.1160522745995
2017,F21,AOA,1,370.4868646833361
2017,F22,WOA,1,24288.260958537143
2017,F22,SBOA,2,313.70799299863666
2017,F22,WOA,2,46091.8600695187
2017,F22,ISBOA,1,204.3820456481576
2017,F22,ISBOA,2,227.46052292782497
2017,F21,AOA,2,-268.0773181020031
2017,F22,GWO,1,4560.395637481756
2017,F22,GWO,2,5041.437037332763
2017,F22,SCA,1,24771.39150886353
2017,F22,SCA,2,20155.5572836295
2017,F22,SSA,1,744.5188981262818
2017,F22,SSA,2,668.4220232944936
2017,F22,HHO,1,6363.623894083397
2017,F22,HHO,2,4010.5870628418334
2017,F23,SBOA,1,214.11683060046016
2017,F23,SBOA,2,233.5035846418241
2017,F23,ISBOA,2,202.2476475897065
2017,F23,ISBOA,1,203.75225569513486
2017,F23,GWO,1,5379.730515832208
2017,F22,MPA,1,5641.912613458217
2017,F22,MPA,2,4613.6749733067645
2017,F23,GWO,2,5338.800177080155
2017,F23,WOA,1,17716.789789473652
2017,F23,WOA,2,29516.72635011728
2017,F23,SCA,1,13009.170193903436
2017,F23,SSA,1,200.01453322212456
2017,F23,SCA,2,13921.636836050271
2017,F22,AOA,1,45200.36931469707
2017,F23,SSA,2,446.9299299749482
2017,F22,AOA,2,31595.513956157025
2017,F23,HHO,1,3152.3618164615073
2017,F23,HHO,2,4439.233308097434
2017,F23,MPA,1,2893.5449320283406
2017,F23,MPA,2,3871.0423307930505
2017,F24,SBOA,1,435.3361771273394
2017,F24,ISBOA,1,431.2743466151155
2017,F24,ISBOA,2,449.97029106267473
2017,F24,SBOA,2,424.02644973571114
2017,F23,AOA,1,15999.800283816865
2017,F23,AOA,2,17642.82906296045
2017,F24,WOA,1,2049.227292634526
2017,F24,WOA,2,2332.011982290298
2017,F24,GWO,1,613.9563691745261
2017,F24,SCA,1,1537.7043071518638
2017,F24,SCA,2,1527.2044831843696
2017,F24,GWO,2,533.6459157236986
2017,F24,SSA,2,437.8944371354296
2017,F24,SSA,1,442.25580099492163
2017,F24,HHO,1,529.1806567868784
2017,F24,HHO,2,923.8918256021207
2017,F24,MPA,1,474.2046024799638
2017,F24,MPA,2,507.8007622477362
2017,F24,AOA,1,2732.7165271785034
2017,F24,AOA,2,1652.417721707503
2017,F25,SBOA,2,875.4037995900089
2017,F25,SBOA,1,839.6152905367203
2017,F25,ISBOA,2,849.5334511024435
2017,F25,ISBOA,1,837.9616039958082
2017,F25,WOA,1,2143.356820539775
2017,F25,GWO,2,987.3490024364037
2017,F25,GWO,1,1017.934458857666
2017,F25,SCA,2,1789.3854633940264
2017,F25,SCA,1,2172.112723735828
2017,F25,WOA,2,8090.22279748748
2017,F25,SSA,1,969.4398152606968
2017,F25,SSA,2,874.4770344895187
2017,F25,HHO,1,1218.7864219617177
2017,F25,HHO,2,1547.1188120470924
2017,F25,MPA,2,901.355427811021
2017,F25,MPA,1,861.5453612506362
2017,F26,SBOA,1,502.28073033388046
2017,F26,SBOA,2,516.0989969738525
2017,F26,ISBOA,2,533.5116276722342
2017,F26,WOA,1,1545.790112118818
2017,F26,ISBOA,1,541.9112996918007
2017,F26,WOA,2,1209.7946900391871
2017,F25,AOA,1,1355.0323689350885
2017,F26,SCA,1,872.75329644564
2017,F26,GWO,1,528.2074124487272
2017,F25,AOA,2,1337.8066923111182
2017,F26,GWO,2,506.312816609789
2017,F26,SCA,2,988.9777541114345
2017,F26,SSA,1,569.2967663453596
2017,F26,SSA,2,540.3020501062624
2017,F26,HHO,1,907.8492332246419
