Year,Function,Algorithm,Mean,Std,Rank
2017,F1,AOA,29592700732.408035,6938582329.424003,8.0
2017,F1,GWO,2683404959.2445254,1655618229.4332683,6.0
2017,F1,HHO,1288782945.9728653,630381338.9329334,4.0
2017,F1,ISBOA,4371.020412967453,1090.3993624342347,1.0
2017,F1,MPA,1314824570.520754,366831226.36359584,5.0
2017,F1,SBOA,878696.871694057,795987.0472616422,3.0
2017,F1,SCA,28663488590.29472,4116600719.597898,7.0
2017,F1,SSA,4825.853595379238,2721.8532245832257,2.0
2017,F1,WOA,32169240707.573936,15202388057.300297,9.0
2017,F10,AOA,233987.52139632546,41019.739511516156,6.0
2017,F10,GWO,154926.55944418133,53165.00591318451,4.0
2017,F10,HHO,396033.4344488594,357192.0200171178,7.0
2017,F10,ISBOA,17445.81623874296,10572.203677000494,1.0
2017,F10,MPA,44128.06064048612,9745.769629060147,2.0
2017,F10,SBOA,50141.81963157003,42218.698809273585,3.0
2017,F10,SCA,4422661.116497361,4010807.7518004095,9.0
2017,F10,SSA,183385.37803980493,54582.27556866792,5.0
2017,F10,WOA,2766211.0669371327,2257186.232791635,8.0
2017,F11,AOA,2185896203.858215,494732310.09017366,8.0
2017,F11,GWO,6614499.658573296,3059091.548277491,3.0
2017,F11,HHO,53550311.78982664,35806596.3250935,6.0
2017,F11,ISBOA,1144698.3851625673,230291.88028920462,2.0
2017,F11,MPA,21279350.726253204,547581.7543555435,4.0
2017,F11,SBOA,463617.2564741876,100381.93358193459,1.0
2017,F11,SCA,3489349720.3244877,1345953352.6562288,9.0
2017,F11,SSA,30806537.681280565,21059120.817831095,5.0
2017,F11,WOA,1697211041.5334818,970045033.349839,7.0
2017,F12,AOA,3646576150.885225,370069266.38644147,9.0
2017,F12,GWO,94094665.38787141,80403196.25960894,6.0
2017,F12,HHO,10427089.45934984,2633836.501244572,5.0
2017,F12,ISBOA,57659.63925827728,5077.6475075351855,2.0
2017,F12,MPA,4712632.50004085,1335738.6567403544,4.0
2017,F12,SBOA,3544.5919065066587,1617.804553922393,1.0
2017,F12,SCA,2143134183.2538486,1569921243.102969,8.0
2017,F12,SSA,268359.33564081776,17187.878132273654,3.0
2017,F12,WOA,1781002636.1717021,1227648798.7498064,7.0
2017,F13,AOA,5374338.355852938,435951.4260105065,8.0
2017,F13,GWO,167235.7958364663,69748.7588880136,3.0
2017,F13,HHO,2286263.4959049053,1111445.0505778594,6.0
2017,F13,ISBOA,148406.14470356933,176105.8088447594,2.0
2017,F13,MPA,29309.67667512159,1352.7201765126954,1.0
2017,F13,SBOA,270053.3735008227,87326.53283924978,4.0
2017,F13,SCA,2621747.3813221315,269954.9959138851,7.0
2017,F13,SSA,789693.0225611916,154179.25818839236,5.0
2017,F13,WOA,11195703.79862511,8886587.637072336,9.0
2017,F14,AOA,994008599.4538618,1402851497.1649497,8.0
2017,F14,GWO,2763892.022321756,3596002.1843191762,5.0
2017,F14,HHO,3915908.946825855,582451.0614101894,6.0
2017,F14,ISBOA,81786.75417804354,15909.454467792515,2.0
2017,F14,MPA,596016.2509616276,347534.7684307894,4.0
2017,F14,SBOA,34993.02320519144,8264.201148296637,1.0
2017,F14,SCA,656775940.1773262,148334856.25854295,7.0
2017,F14,SSA,220331.16840851237,73235.07887834821,3.0
2017,F14,WOA,1683333891.5941088,2230780577.209266,9.0
2017,F15,AOA,1383944.0177139256,1928001.632864931,6.0
2017,F15,GWO,1528291.1103252082,196358.07652345096,7.0
2017,F15,HHO,1312673.4863075144,1231974.5338065675,5.0
2017,F15,ISBOA,74.34653233412917,2.149269760968914,1.0
2017,F15,MPA,4180.050429867608,1045.7957111984256,3.0
2017,F15,SBOA,1393.8485673825346,2538.780273368873,2.0
2017,F15,SCA,34987280.60889092,15822638.877618227,8.0
2017,F15,SSA,27449.38049327067,24081.257937974326,4.0
2017,F15,WOA,187272689.96157634,256997901.93675914,9.0
2017,F16,AOA,443693.23659624025,542804.0554778997,7.0
2017,F16,GWO,59770.97875466317,39698.65498227414,5.0
2017,F16,HHO,104045.38886486168,58334.333814121186,6.0
2017,F16,ISBOA,1564.5225542677472,479.90634692456064,1.0
2017,F16,MPA,10000.580834600472,6993.733907644277,3.0
2017,F16,SBOA,8802.518585033162,2546.6145017311314,2.0
2017,F16,SCA,6920493692.466449,5627863175.038858,9.0
2017,F16,SSA,36677.22847659782,4356.720453568579,4.0
2017,F16,WOA,229829009.87861976,34988689.99617229,8.0
2017,F17,AOA,2065353.0262146287,8954.207812151646,9.0
2017,F17,GWO,87029.9866133506,18285.58579852792,3.0
2017,F17,HHO,93513.40299351182,51379.75271682584,4.0
2017,F17,ISBOA,18290.090741598236,8446.983547837755,2.0
2017,F17,MPA,11231.539758452418,2325.6300858294267,1.0
2017,F17,SBOA,152134.09564893023,2375.5423629356874,5.0
2017,F17,SCA,1266166.8355450155,1374227.4507987415,8.0
2017,F17,SSA,274016.76036386844,223660.25378552487,6.0
2017,F17,WOA,800143.7284716095,484523.5442326494,7.0
2017,F18,AOA,2595970483.7215395,247837062.0695898,6.0
2017,F18,GWO,5869763399.361277,8100555502.7304735,7.0
2017,F18,HHO,79424037.35076503,32550222.7400133,5.0
2017,F18,ISBOA,52440.88884023666,23216.97566712832,2.0
2017,F18,MPA,324509.6148166354,163114.38536065153,4.0
2017,F18,SBOA,1527.501712960991,2065.8629403018663,1.0
2017,F18,SCA,29469928469.71986,33631241192.82939,8.0
2017,F18,SSA,76741.06003401484,41261.70354243421,3.0
2017,F18,WOA,42256873894.25116,16722232766.224201,9.0
2017,F19,AOA,7502.918436945144,4099.5210786560265,9.0
2017,F19,GWO,839.1114814084963,332.457729861494,4.0
2017,F19,HHO,2719.3911495614793,828.7987809614218,5.0
2017,F19,ISBOA,224.5675575825917,301.44294173582483,2.0
2017,F19,MPA,739.0203667192222,111.62188083652548,3.0
2017,F19,SBOA,220.08645450025222,213.94477204606218,1.0
2017,F19,SCA,3047.4506425298196,1612.5187751057165,7.0
2017,F19,SSA,2862.232382700641,1283.0028362902926,6.0
2017,F19,WOA,7407.312554404044,4740.8471632041765,8.0
2017,F2,AOA,80650.02479189544,31767.689590253103,9.0
2017,F2,GWO,31748.722555461,12228.988668210479,6.0
2017,F2,HHO,16635.53711737678,4355.355887565857,5.0
2017,F2,ISBOA,2.1758598722016558,2.542148516280448,2.0
2017,F2,MPA,5256.087220055604,895.983159296736,4.0
2017,F2,SBOA,1738.0416977745322,536.5844159496422,3.0
2017,F2,SCA,44573.88119745784,4488.505780117116,7.0
2017,F2,SSA,5.573244266088295e-08,3.453094044576698e-08,1.0
2017,F2,WOA,66225.91059408087,44017.154321128655,8.0
2017,F20,AOA,7274.319919545968,3425.4043276342595,7.0
2017,F20,GWO,3978.833745357874,1082.606117427199,6.0
2017,F20,HHO,1981.7582853949768,667.4592422184794,5.0
2017,F20,ISBOA,819.4923108566738,260.2163116233727,2.0
2017,F20,MPA,1001.0776140464018,44.17724130756281,4.0
2017,F20,SBOA,246.3321774670428,66.74364288395168,1.0
2017,F20,SCA,15014.735432262583,6321.196137744483,8.0
2017,F20,SSA,958.3393163973512,353.44096015748914,3.0
2017,F20,WOA,27151.440766601376,6787.580865677733,9.0
2017,F21,AOA,51.20477329066648,451.53306387035934,2.0
2017,F21,GWO,136.26545772290638,26.371696400803568,4.0
2017,F21,HHO,475.21550564128574,207.2927022198331,7.0
2017,F21,ISBOA,116.03008041006183,5.447393477329453,3.0
2017,F21,MPA,203.63292474867762,20.619481559624056,6.0
2017,F21,SBOA,-340.6136768769345,499.1156181839415,1.0
2017,F21,SCA,532.9850107211112,52.086977573012895,8.0
2017,F21,SSA,143.4948560206908,45.8548991480755,5.0
2017,F21,WOA,1141.6029356038348,109.61236213764124,9.0
2017,F22,AOA,38397.94163542705,9620.085481085805,9.0
2017,F22,GWO,4800.91633740726,340.1476358661163,4.0
2017,F22,HHO,5187.105478462616,1663.8482997526162,6.0
2017,F22,ISBOA,215.92128428799128,16.318947783912463,1.0
2017,F22,MPA,5127.793793382491,727.0738080223448,5.0
2017,F22,SBOA,285.4120226366181,40.01654504647381,2.0
2017,F22,SCA,22463.474396246515,3263.8876814959362,7.0
2017,F22,SSA,706.4704607103877,53.80861622066137,3.0
2017,F22,WOA,35190.06051402792,15417.472785648035,8.0
2017,F23,AOA,16821.314673388657,1161.7967914170824,8.0
2017,F23,GWO,5359.265346456181,28.94212008783896,6.0
2017,F23,HHO,3795.7975622794706,909.9555582514113,5.0
2017,F23,ISBOA,202.99995164242068,1.0639185943766374,1.0
2017,F23,MPA,3382.2936314106955,691.1950392587371,4.0
2017,F23,SBOA,223.81020762114213,13.708505247844139,2.0
2017,F23,SCA,13465.403514976853,645.2113502685462,7.0
2017,F23,SSA,323.4722315985364,174.59555142328844,3.0
2017,F23,WOA,23616.758069795465,8343.815159602174,9.0
2017,F24,AOA,2192.567124443003,763.8866110562714,9.0
2017,F24,GWO,573.8011424491124,56.78806623524668,5.0
2017,F24,HHO,726.5362411944996,279.1029440793259,6.0
2017,F24,ISBOA,440.6223188388951,13.2200290995561,3.0
2017,F24,MPA,491.00268236385,23.756072393618535,4.0
2017,F24,SBOA,429.68131343152527,7.997184931991585,1.0
2017,F24,SCA,1532.4543951681167,7.424496728680184,7.0
2017,F24,SSA,440.0751190651756,3.0839499602687477,2.0
2017,F24,WOA,2190.619637462412,199.9589716713298,8.0
2017,F25,AOA,1346.4195306231034,12.180392751335944,6.0
2017,F25,GWO,1002.6417306470348,21.62718364116019,5.0
2017,F25,HHO,1382.952617004405,232.16605951255525,7.0
2017,F25,ISBOA,843.7475275491258,8.182531559955702,1.0
2017,F25,MPA,881.4503945308286,28.149968024335845,3.0
2017,F25,SBOA,857.5095450633646,25.306297440136543,2.0
2017,F25,SCA,1980.749093564927,270.629041132637,8.0
2017,F25,SSA,921.9584248751078,67.14882624363153,4.0
2017,F25,WOA,5116.789809013628,4205.069259107286,9.0
2017,F26,AOA,684.8447439566148,34.442528318300916,6.0
2017,F26,GWO,517.2601145292581,15.481817189051919,2.0
2017,F26,HHO,915.5544832006879,10.896869017599126,7.0
2017,F26,ISBOA,537.7114636820174,5.939465044778322,3.0
2017,F26,MPA,568.1646551374879,21.54840788815663,5.0
2017,F26,SBOA,509.1898636538665,9.770990045368107,1.0
2017,F26,SCA,930.8655252785372,82.1831021552121,8.0
2017,F26,SSA,554.799408225811,20.50236047124535,4.0
2017,F26,WOA,1377.7924010790025,237.58464140014314,9.0
2017,F27,AOA,1298.8209081773862,12.752577479845927,8.0
2017,F27,GWO,500.1727241614665,33.89528355650335,5.0
2017,F27,HHO,533.8379564936436,5.417106732142189,6.0
2017,F27,ISBOA,327.14320742381983,154.0027931951266,3.0
2017,F27,MPA,411.84109361127867,95.73614623742304,4.0
2017,F27,SBOA,220.07480716928444,169.95768925786084,1.0
2017,F27,SCA,1177.2511080464471,35.52688644331643,7.0
2017,F27,SSA,242.00497901070025,294.3095205236878,2.0
2017,F27,WOA,1375.6324461668355,347.91117576378656,9.0
2017,F28,AOA,161539091.6167311,120568785.6239194,7.0
2017,F28,GWO,87809901.47866301,115078345.9888674,6.0
2017,F28,HHO,4071887.249174021,3035248.771249134,5.0
2017,F28,ISBOA,20600.722392364216,14335.114329225195,1.0
2017,F28,MPA,398406.2968408468,462434.2595005957,4.0
2017,F28,SBOA,40437.0987011418,3861.00409416633,2.0
2017,F28,SCA,4737077057.942507,2131963363.699131,8.0
2017,F28,SSA,119979.87081546703,32155.014652068094,3.0
2017,F28,WOA,21837978102.926785,16182568848.449461,9.0
2017,F29,AOA,940443407.8555295,325319784.99610955,7.0
2017,F29,GWO,378720863.79998344,276288005.1100756,5.0
2017,F29,HHO,531086977.6266044,616247490.4042059,6.0
2017,F29,ISBOA,51005.94950128363,8293.103017935377,1.0
2017,F29,MPA,1340910.5673955465,262644.4824521926,4.0
2017,F29,SBOA,817306.7978313355,1112117.5987557839,3.0
2017,F29,SCA,6587163102.637459,3545628694.485944,8.0
2017,F29,SSA,666141.9363529215,553585.6260753901,2.0
2017,F29,WOA,18076564407.299843,8000530005.909024,9.0
2017,F3,AOA,6904.383515998381,2669.4350052591444,9.0
2017,F3,GWO,339.6442625318958,27.647758398271584,5.0
2017,F3,HHO,391.15441004029276,113.78579833965705,6.0
2017,F3,ISBOA,81.64317618162383,7.956675415296452,3.0
2017,F3,MPA,162.850485102321,22.014764582831987,4.0
2017,F3,SBOA,67.9805055351109,14.766231101000404,2.0
2017,F3,SCA,2494.5914842078337,461.5207284566923,7.0
2017,F3,SSA,56.546685916317045,34.857090870740514,1.0
2017,F3,WOA,3201.761331202379,2051.0512964168497,8.0
2017,F4,AOA,30166.6176151975,758.3405069807526,8.0
