Year,Function,Opponent,p_value,Symbol
2017,F1,SBOA,0.009023438818080326,+
2017,F1,WOA,0.009023438818080326,+
2017,F1,GWO,0.009023438818080326,+
2017,F1,SCA,0.009023438818080326,+
2017,F1,SSA,0.46470209994046485,=
2017,F1,HHO,0.009023438818080326,+
2017,F1,MPA,0.009023438818080326,+
2017,F1,AOA,0.009023438818080326,+
2017,F10,SBOA,0.016293603621028527,+
2017,F10,WOA,0.009023438818080326,+
2017,F10,GWO,0.009023438818080326,+
2017,F10,SCA,0.009023438818080326,+
2017,F10,SSA,0.009023438818080326,+
2017,F10,HHO,0.009023438818080326,+
2017,F10,MPA,0.009023438818080326,+
2017,F10,AOA,0.009023438818080326,+
2017,F11,SBOA,0.6015081344405899,=
2017,F11,WOA,0.009023438818080326,+
2017,F11,GWO,0.009023438818080326,+
2017,F11,SCA,0.009023438818080326,+
2017,F11,SSA,0.009023438818080326,+
2017,F11,HHO,0.009023438818080326,+
2017,F11,MPA,0.009023438818080326,+
2017,F11,AOA,0.009023438818080326,+
2017,F12,SBOA,0.009023438818080326,-
2017,F12,WOA,0.009023438818080326,+
2017,F12,GWO,0.009023438818080326,+
2017,F12,SCA,0.009023438818080326,+
2017,F12,SSA,0.009023438818080326,+
2017,F12,HHO,0.009023438818080326,+
2017,F12,MPA,0.009023438818080326,+
2017,F12,AOA,0.009023438818080326,+
2017,F13,SBOA,0.028280122568276955,+
2017,F13,WOA,0.009023438818080326,+
2017,F13,GWO,0.028280122568276955,+
2017,F13,SCA,0.009023438818080326,+
2017,F13,SSA,0.016293603621028527,+
2017,F13,HHO,0.009023438818080326,+
2017,F13,MPA,0.6015081344405899,=
2017,F13,AOA,0.009023438818080326,+
2017,F14,SBOA,0.009023438818080326,-
2017,F14,WOA,0.009023438818080326,+
2017,F14,GWO,0.009023438818080326,+
2017,F14,SCA,0.009023438818080326,+
2017,F14,SSA,0.009023438818080326,+
2017,F14,HHO,0.009023438818080326,+
2017,F14,MPA,0.009023438818080326,+
2017,F14,AOA,0.009023438818080326,+
2017,F15,SBOA,0.6015081344405899,=
2017,F15,WOA,0.009023438818080326,+
2017,F15,GWO,0.009023438818080326,+
2017,F15,SCA,0.009023438818080326,+
2017,F15,SSA,0.009023438818080326,+
2017,F15,HHO,0.009023438818080326,+
2017,F15,MPA,0.009023438818080326,+
2017,F15,AOA,0.009023438818080326,+
2017,F16,SBOA,0.016293603621028527,+
2017,F16,WOA,0.009023438818080326,+
2017,F16,GWO,0.009023438818080326,+
2017,F16,SCA,0.009023438818080326,+
2017,F16,SSA,0.009023438818080326,+
2017,F16,HHO,0.009023438818080326,+
2017,F16,MPA,0.009023438818080326,+
2017,F16,AOA,0.009023438818080326,+
2017,F17,SBOA,0.009023438818080326,+
2017,F17,WOA,0.009023438818080326,+
2017,F17,GWO,0.009023438818080326,+
2017,F17,SCA,0.009023438818080326,+
2017,F17,SSA,0.009023438818080326,+
2017,F17,HHO,0.009023438818080326,+
2017,F17,MPA,0.04720176769014221,-
2017,F17,AOA,0.009023438818080326,+
2017,F18,SBOA,0.009023438818080326,-
2017,F18,WOA,0.009023438818080326,+
2017,F18,GWO,0.009023438818080326,+
2017,F18,SCA,0.009023438818080326,+
2017,F18,SSA,0.016293603621028527,+
2017,F18,HHO,0.009023438818080326,+
2017,F18,MPA,0.009023438818080326,+
2017,F18,AOA,0.009023438818080326,+
2017,F19,SBOA,0.46470209994046485,=
2017,F19,WOA,0.009023438818080326,+
2017,F19,GWO,0.016293603621028527,+
2017,F19,SCA,0.009023438818080326,+
2017,F19,SSA,0.009023438818080326,+
2017,F19,HHO,0.009023438818080326,+
2017,F19,MPA,0.009023438818080326,+
2017,F19,AOA,0.009023438818080326,+
2017,F2,SBOA,0.009023438818080326,+
2017,F2,WOA,0.009023438818080326,+
2017,F2,GWO,0.009023438818080326,+
2017,F2,SCA,0.009023438818080326,+
2017,F2,SSA,0.009023438818080326,-
2017,F2,HHO,0.009023438818080326,+
2017,F2,MPA,0.009023438818080326,+
2017,F2,AOA,0.009023438818080326,+
2017,F20,SBOA,0.11718508719813801,=
2017,F20,WOA,0.009023438818080326,+
2017,F20,GWO,0.009023438818080326,+
2017,F20,SCA,0.009023438818080326,+
2017,F20,SSA,0.6015081344405899,=
2017,F20,HHO,0.009023438818080326,+
2017,F20,MPA,0.25059205068568424,=
2017,F20,AOA,0.009023438818080326,+
2017,F21,SBOA,0.009023438818080326,-
2017,F21,WOA,0.009023438818080326,+
2017,F21,GWO,0.46470209994046485,=
